ID;answer
61;do medicine in naples, then specialize abroad to become a heart surgeon 
62;After graduation, I would like to enroll in University . I am attending this seminar just to get an idea/get acquainted with university language/context and to help myself in some kind of orientation.
63;I would like to enroll in a degree program (which I am still undecided about) and then find a job, even in 'foreign countries' where I can test my English skills.
64;I would like to attend University. Most likely engineering faculty
65;study for life
66;I would like to undertake a university course in the Faculty of Mathematics, perhaps leading to a PhD. At the same time I would like to pursue a musical career with my band. 
67;computer engineering
68;Going to University 
69;I am undecided between various degree courses such as medicine, management engineering and economics
70;I would like to enroll in a scientific degree program, probably physics
71;I would like to enroll in University 
72;Computer Security
73;criminology, or forensic science 
74;I would like to either enroll in University , although I'm not sure which faculty yet , or become a criminal .
75;I don't know, complete the course of study, I don't know which one, I feel the pressure of time passing, and the choices I will have to make. I don't want to grow up. 
76;Once I graduate I would like to attend university, at the moment I am undecided between mathematics and engineering. 
77;Going to enroll in biotechnology or mechatronics engineering
78;I would like to pursue a degree in mathematics or law...a dilemma
79;To get into physical therapy, if I don't get in, I'll kill myself. 
80;I do not know but I am inclined to go to the University 
81;I would certainly like to enroll at the University, although I still have unclear ideas about which course to choose. The goal is generally to pursue something that I am passionate about.
82;After graduation I would like to attend medical school and specialize in surgery.
83;After graduation I would like to start university in the field of applied informatics. At the same time I would like to further my knowledge in cybersecurity.
84;Still undecided 
85;I would like to become financially independent in order to continue my studies in the long term.
86;After graduation I would like to enroll in University 
87;physics
88;I would like to do Genetics, study genetically transmitted diseases 
89; I would like to major in Mathematics, minor in Mathematical Engineering and then live under a comfortable bridge.
90;I'm still not clear on what to do after graduation, I think I will definitely pursue a course of study and then, in the future, graduate. 
91;Enrolling in medicine, following my dream and becoming independent
92;I would like to study at the Faculty of Psychology.
93;At the moment I'm not sure of my future path of study, but I think I have a tendency for the scientific field. Mainly Biology, Chemistry and Computer Science.
94;I want to try to get into medical school (who knows why it will be one of the words that comes out the most) and if I fail, I'll try again, or I'll go to the Maldives to work as a masseuse.
95;I would like to do medicine
96;After graduation I would like to undertake a new path, the University precisely I would like to enroll in medicine to realize my dream
97;Go to University 
98;after graduation, I will enroll in University, I am still undecided between robotic engineering, or marine biology.
99;I would like to try the path of medicine and surgery. I have always been fascinated by the idea of working in hospitals and being able to save people, unfortunately afflicted by serious and often fatal diseases.
100;Be waited on hand and foot
101;to attend the faculty of medicine possibly not in Naples in case I could also reconcile a small occupation to the study
102;University (probably a degree course of PLS)
103;I like very much the scientific subjects but I am more inclined to choose the conservatory, or maybe if I have the possibility, to do both.
104;I change my mind every month. I will definitely do something in chemistry cuz is my favorite subject or do the competitions and get a law degree. The pls is motivating me to choose a scien
105;Computer science at university and programmer in life
106;Graduating in medicine and specializing in orthopedics, mark my name Luca Umberto Angrisano
107;Medicine
108;I would like to try medicine
109;medicine
110;After the diploma I would like to attend the University, I have not chosen the address but I am evaluating various ideas 
111;I would like to attend University, probably language mediation, but I'm not sure. Also I would like to travel a lot
112;University, I would like to do mechanical engineering.
113;University and become rich
114;I'm not clear on my ideas yet, however I'm sure I want to enroll in University and go for a scientific degree. 
115;suck
116;the millionaire 😂
117;My biggest dream is to be a forensic anthropologist, but I am very afraid of not being able to do it and of making the wrong choice, cuz I would also like to do criminology or be a detective.
118;after graduation I would like to do medicine 
119;University (probably engineering)
120;Computer engineering 
121;Become an anchorite
122;After graduation I still don't really know what I want to do but honestly I want to continue my studies and find a job that I like and that I will be satisfied with.
123;After graduation I plan to continue my studies, I will enroll in medical school. 
124;Engineering 
125;If I knew what to do I would not follow this initiative
126;I would like to enroll in University and find a job.
127;Carabiniere
128;Go to University 
129;Graduation
130;After graduation I would like to enroll in medical school.
131;University 
132;University of Veterinary Medicine
133;Medicine 
134;Studying medicine
135;I would like to work in the scientific field to be able to be independent
136;Carabiniere
137;Millionaire
138;Degree
139;I would like to do medicine
140;After graduation I don't really know what I want to do yet but honestly I want to continue my studies and find a job that I like and will be satisfied with.
141;medicine 
142;I would like to attend University . Most likely engineering faculty
143;University 
144;University of Veterinary Medicine
145;Medicine 
146;I would like to enroll in University and undertake medical studies
147;I would like to attend University . Most likely engineering faculty
